0,1,2,3,4
40.0,55.0,10.0,10.0,83.0
27.0,149.0,10.0,9.0,27.0
45.0,65.0,10.0,9.0,160.0
45.0,112.0,9.0,10.0,82.0
58.0,120.0,10.0,12.0,57.0
70.0,141.0,10.0,8.0,112.0
97.0,28.0,10.0,10.0,69.0
72.0,127.0,9.0,9.0,54.0
82.0,84.0,9.0,11.0,32.0
40.0,61.0,10.0,10.0,37.0
80.0,80.0,9.0,10.0,46.0
81.0,129.0,12.0,9.0,54.0
55.0,54.0,9.0,10.0,76.0
73.0,61.0,9.0,10.0,38.0
55.0,79.0,10.0,10.0,78.0
33.0,39.0,9.0,9.0,92.0
47.0,140.0,9.0,9.0,43.0
66.0,115.0,10.0,9.0,109.0
33.0,72.0,10.0,11.0,81.0
77.0,150.0,10.0,8.0,111.0
68.0,70.0,9.0,10.0,35.0
40.0,92.0,9.0,8.0,57.0
97.0,71.0,9.0,9.0,108.0
90.0,51.0,9.0,9.0,106.0
105.0,45.0,10.0,9.0,44.0
81.0,65.0,9.0,9.0,89.0
117.0,98.0,10.0,9.0,74.0
55.0,71.0,10.0,10.0,43.0
50.0,50.0,10.0,9.0,66.0
49.0,87.0,10.0,8.0,46.0
102.0,77.0,9.0,10.0,69.0
72.0,83.0,9.0,9.0,26.0
80.0,81.0,9.0,9.0,67.0
78.0,134.0,8.0,10.0,36.0
66.0,74.0,9.0,9.0,26.0
71.0,124.0,9.0,10.0,72.0
66.0,65.0,10.0,10.0,31.0
99.0,95.0,9.0,9.0,34.0
81.0,54.0,9.0,9.0,78.0
53.0,101.0,9.0,9.0,51.0
80.0,214.0,9.0,9.0,70.0
82.0,62.0,10.0,9.0,38.0
75.0,122.0,12.0,10.0,26.0
52.0,62.0,9.0,10.0,75.0
46.0,77.0,9.0,11.0,55.0
125.0,51.0,10.0,10.0,98.0
54.0,129.0,8.0,9.0,86.0
41.0,106.0,9.0,10.0,46.0
69.0,81.0,8.0,9.0,42.0
95.0,83.0,10.0,10.0,121.0
43.0,79.0,9.0,8.0,68.0
50.0,170.0,8.0,9.0,66.0
